# created: Thu Nov 14 02:00:04 2013
# <aid>|<type>|<language>|<title>
# type: 1=primary title (one per anime), 2=synonyms (multiple per anime), 3=shorttitles (multiple per anime), 4=official title (one per language)
106|4|ko|아즈망가 대왕
1971|2|ko|아키바계 그녀
1890|4|ko|요술공주 세리
1891|4|ko|요술공주 셀리
9634|4|ko|은하전설 테라
8093|2|ko|주치의의 음모
5257|2|ko|짜장소녀 뿌까
102|4|ko|카드캡터 체리
23|4|ko|카우보이 비밥
4359|2|ko|특장기병 돌백
271|2|ko|하이바네 연맹
219|4|ko|카우보이 비밥 - 천국의 문
720|4|ko|기동전사 건담 : 역습의 샤아
6230|2|ko|마법소녀 아이 참
2176|2|ko|공주모욕 이중 사냥
5143|2|ko|두근두근 모녀 레슨
86|4|ko|사무라이 디퍼 쿄우
2186|4|ko|기동전사 건담 씨드 데스티니
5252|4|ko|기동전사 건담 더블오
7981|2|ko|미야자키 마야 대도감
5466|2|ko|음란하게 웃는 간호사
9712|4|ko|아기공룡 둘리: 얼음별 대모험
3298|4|ko|파니포니 대쉬!
801|2|ja|エデンズ ボゥイ
5070|2|ko|가정교사 누나들
4493|2|ko|공주기사 리리아
3626|4|ko|닌자보이 란타로
8421|4|ko|돌아가는 핑드럼
2804|2|ko|마계천사 지브릴
7315|2|ko|마법전사 라이너
9642|4|ko|무적철인 람보트
1546|2|ko|미카쿠라 탐정단
6020|4|ko|뽀롱뽀롱 뽀로로
1543|4|ko|사무라이 참프루
7729|2|ko|슈타인즈 게이트
1383|4|ko|엄마찾아 삼만리
4734|4|ko|엽기인걸 스나코
9235|4|ko|옆자리의 괴물군
1853|4|ko|올림포스 가디언
5049|4|ko|요괴인간 타요마
534|2|ko|육욕완구 택배인
9611|4|ko|은하함대 지구호
5541|2|ko|장갑기녀 이리스
5628|2|ko|전투처녀 스뷔아
5303|4|ko|천년여우 여우비
102|2|ko|카드캡터 사쿠라
5280|4|ko|캐릭캐릭 체인지
3446|4|ko|투패전설 아카기
2810|4|ko|트리니티 블러드
4743|4|ko|히다마리 스케치
8082|2|ko|사로잡힌 아가씨 ~백탁 투성이의 영애~
1874|2|ja|ハンドル ウイズ ケア
6040|4|ja|テイルズ オブジ アビス
8069|4|ko|마법소녀 마도카 마기카
5841|4|ko|클라나드 애프터 스토리
7519|2|ko|프린세스 나이트 카츄아
1042|2|ko|하트워크 파괴의 심포니
7816|2|ko|네토라레 다나베 유카의 독백
7578|2|ko|네토라레 파이터 야리짱!
4076|4|ja|リバース ムーン ディバージェンス
6219|4|ja|みなみけ おかえり
9267|4|ja|みなみけ おまたせ
9075|4|ja|みなみけ ただいま
6654|4|ja|みなみけ べつばら
1125|4|ja|ガンダム イボルブ
3695|2|ja|ナヴィア ドラップ
2747|4|ja|メイプル カラーズ
3562|4|ko|두근두근 비밀친구
6554|2|ko|마계기사 잉그리드
9287|4|ko|마오유우 마왕용사
5415|4|ko|마크로스 프론티어
517|4|ko|메트릭스 르네상스
8472|4|ko|미안하다 사랑한다
161|4|ko|베리베리 뮤우뮤우
5576|2|ko|속・안녕 절망선생
3312|2|ko|쌍둥이의 모성본능
111|4|ko|전투요정 유키카제
4575|4|ko|천원돌파 그렌라간
